V 1468
b Some(235) false -1.3960,32.5470 -1.6930,32.6390 -1.9750,32.7630 -2.2410,32.9160 -2.4920,33.1010 -2.9490,32.7810 -3.4310,32.5140 -3.9390,32.2980 -4.4720,32.1350 -4.3810,31.7070 -4.3500,31.2780 -4.3760,30.8490 -4.4620,30.4200 -4.2760,30.1370 -4.0750,29.8660 -3.8580,29.6080 -3.6260,29.3610 -3.0880,29.6810 -2.5770,30.0370 -2.0920,30.4270 -1.6340,30.8530 -1.4940,31.2650 -1.4080,31.6850 -1.3750,32.1120
b Some(165) false 23.1060,21.9050 23.4560,21.4520 23.7300,20.9630 23.9280,20.4390 24.0500,19.8800 24.6980,19.8450 25.3470,19.8090 25.9950,19.7730 26.6430,19.7360 26.4920,20.3670 26.2630,20.9610 25.9570,21.5200 25.5730,22.0420 24.9490,22.1340 24.3300,22.1420 23.7160,22.0660
b Some(298) false 22.9950,24.2250 23.0370,23.6460 23.0700,23.0660 23.0930,22.4860 23.1060,21.9050 23.7160,22.0660 24.3300,22.1420 24.9490,22.1340 25.5730,22.0420 25.6850,22.5600 25.7800,23.0800 25.8560,23.6040 25.9150,24.1300 25.1820,24.0490 24.4500,24.0370 23.7220,24.0960
b Some(235) false 2.5730,39.7700 3.1190,39.9410 3.6240,40.1830 4.0880,40.4960 4.5110,40.8810 4.1150,41.2590 3.7710,41.6760 3.4790,42.1310 3.2400,42.6240 2.7980,42.5160 2.3600,42.3950 1.9260,42.2600 1.4960,42.1130 1.7030,41.4990 1.9520,40.9030 2.2420,40.3270
b Some(229) false 20.5180,-29.4190 19.8610,-28.8470 19.1680,-28.3250 18.4410,-27.8540 17.6780,-27.4320 17.6160,-27.9380 17.5060,-28.4300 17.3470,-28.9090 17.1400,-29.3740 17.6080,-29.7430 18.0840,-30.0990 18.5700,-30.4430 19.0650,-30.7740 19.4270,-30.4340 19.7900,-30.0950 20.1530,-29.7560
b Some(197) false -21.1940,-28.0070 -21.6670,-27.7560 -22.1390,-27.5010 -22.6080,-27.2420 -23.0750,-26.9800 -23.4210,-27.3500 -23.7770,-27.7110 -24.1420,-28.0620 -24.5170,-28.4030 -24.2580,-28.7070 -23.9850,-28.9980 -23.6990,-29.2760 -23.4000,-29.5410 -23.0850,-29.5970 -22.7740,-29.6690 -22.4680,-29.7560 -22.1650,-29.8600 -21.9960,-29.3580 -21.7780,-28.8820 -21.5110,-28.4310
b Some(267) false -14.9740,-31.7000 -15.6170,-31.9430 -16.2050,-32.2700 -16.7370,-32.6810 -17.2140,-33.1760 -16.8420,-33.5660 -16.4280,-33.8940 -15.9710,-34.1590 -15.4720,-34.3620 -14.9850,-34.2180 -14.4920,-34.1120 -13.9920,-34.0420 -13.4860,-34.0090 -13.9600,-33.4970 -14.3660,-32.9420 -14.7040,-32.3430
b Some(294) false 31.4390,0.3820 31.4010,-0.0970 31.3350,-0.5710 31.2420,-1.0400 31.1200,-1.5050 31.4700,-1.5500 31.8200,-1.5950 32.1690,-1.6420 32.5190,-1.6890 32.7550,-1.4210 33.0050,-1.1650 33.2670,-0.9240 33.5420,-0.6950 33.3700,-0.2760 33.2370,0.1540 33.1420,0.5930 33.0850,1.0430 32.7100,0.7860 32.3110,0.5900 31.8870,0.4560
b Some(301) false -2.4920,33.1010 -2.6280,33.5070 -2.7500,33.9160 -2.8590,34.3290 -2.9550,34.7460 -3.2590,34.9310 -3.5520,35.1330 -3.8330,35.3500 -4.1030,35.5830 -4.5440,35.4870 -4.9670,35.3440 -5.3690,35.1530 -5.7530,34.9140 -5.7410,34.3980 -5.7190,33.8820 -5.6870,33.3670 -5.6450,32.8520 -5.3660,32.6500 -5.0770,32.4630 -4.7790,32.2910 -4.4720,32.1350 -3.9390,32.2980 -3.4310,32.5140 -2.9490,32.7810
b Some(250) false 5.6400,-34.8380 5.3650,-34.4220 5.1400,-33.9830 4.9640,-33.5230 4.8390,-33.0400 4.2340,-33.2260 3.6600,-33.4720 3.1150,-33.7790 2.6010,-34.1470 3.4000,-34.1490 4.1720,-34.2650 4.9190,-34.4940
b Some(250) false 5.7840,-36.7040 5.6430,-36.2460 5.5720,-35.7820 5.5710,-35.3130 5.6400,-34.8380 4.9190,-34.4940 4.1720,-34.2650 3.4000,-34.1490 2.6010,-34.1470 2.5080,-34.5200 2.4610,-34.8970 2.4610,-35.2760 2.5080,-35.6580 2.6920,-36.0460 2.8980,-36.4210 3.1280,-36.7820 3.3810,-37.1290 3.8810,-37.2710 4.3560,-37.4630 4.8090,-37.7060 5.2370,-38.0000 5.3090,-37.6480 5.4240,-37.3150 5.5820,-37.0000
b Some(197) false -17.2140,-33.1760 -17.5030,-32.4800 -17.8170,-31.7960 -18.1560,-31.1250 -18.5200,-30.4650 -18.9480,-30.6040 -19.3780,-30.7370 -19.8100,-30.8630 -20.2440,-30.9830 -20.2680,-31.7320 -20.3900,-32.4560 -20.6120,-33.1570 -20.9320,-33.8340 -20.3030,-33.7880 -19.6770,-33.7930 -19.0530,-33.8470 -18.4310,-33.9520 -18.1220,-33.7650 -17.8170,-33.5730 -17.5140,-33.3770
b Some(161) false -1.6110,-31.5360 -2.2310,-31.8850 -2.8770,-32.1640 -3.5490,-32.3720 -4.2470,-32.5110 -4.2650,-33.0260 -4.2960,-33.5400 -4.3410,-34.0530 -4.3980,-34.5650 -3.7150,-34.2620 -3.0110,-34.0600 -2.2850,-33.9600 -1.5380,-33.9610 -1.4790,-33.3520 -1.4710,-32.7450 -1.5150,-32.1400
b Some(248) false 0.3800,-32.0640 -0.1010,-31.8700 -0.5940,-31.7180 -1.0970,-31.6060 -1.6110,-31.5360 -1.5150,-32.1400 -1.4710,-32.7450 -1.4790,-33.3520 -1.5380,-33.9610 -1.2310,-34.1740 -0.9170,-34.3740 -0.5950,-34.5620 -0.2660,-34.7380 -0.0180,-34.0900 0.1730,-33.4290 0.3050,-32.7530
b Some(250) false 8.1760,-40.4290 8.4020,-39.8270 8.5620,-39.2120 8.6550,-38.5830 8.6830,-37.9410 7.8220,-37.9990 6.9610,-38.0280 6.0990,-38.0290 5.2370,-38.0000 5.9490,-38.6350 6.6760,-39.2510 7.4190,-39.8490
b Some(235) false 6.5730,40.3680 6.8660,40.3800 7.1600,40.3880 7.4530,40.3920 7.7470,40.3930 8.0260,40.6260 8.2930,40.8730 8.5460,41.1330 8.7860,41.4070 8.4650,41.6980 8.1370,41.9810 7.8030,42.2560 7.4620,42.5230 7.1060,42.3820 6.7540,42.2350 6.4040,42.0810 6.0570,41.9200 6.1340,41.5150 6.2450,41.1210 6.3920,40.7390
b Some(250) false 11.2560,-38.8920 10.8010,-39.2550 10.3470,-39.6210 9.8960,-39.9900 9.4470,-40.3610 9.8360,-40.7260 10.1970,-41.1160 10.5290,-41.5310 10.8330,-41.9700 11.1540,-41.6740 11.4810,-41.3840 11.8150,-41.1020 12.1540,-40.8260 11.8800,-40.3650 11.6390,-39.8900 11.4310,-39.3980
b Some(250) false 15.3130,-35.8750 14.7910,-36.3940 14.2620,-36.9060 13.7260,-37.4100 13.1840,-37.9080 13.8720,-38.2370 14.5780,-38.5130 15.3020,-38.7390 16.0440,-38.9120 16.3640,-38.5850 16.6690,-38.2450 16.9570,-37.8910 17.2290,-37.5230 16.8050,-37.0470 16.3440,-36.6140 15.8470,-36.2230
b Some(250) false 16.0440,-38.9120 15.3020,-38.7390 14.5780,-38.5130 13.8720,-38.2370 13.1840,-37.9080 13.3470,-38.7240 13.5550,-39.5270 13.8100,-40.3160 14.1100,-41.0920 14.4710,-40.4380 14.9140,-39.8570 15.4380,-39.3480
b Some(235) false 6.0570,41.9200 6.4040,42.0810 6.7540,42.2350 7.1060,42.3820 7.4620,42.5230 7.4980,42.8100 7.5280,43.0970 7.5530,43.3850 7.5720,43.6730 7.4950,43.9780 7.4240,44.2850 7.3600,44.5930 7.3020,44.9020 6.9050,45.5380 6.4990,46.1670 6.0840,46.7910 5.6590,47.4080 5.3260,46.9100 5.0440,46.3880 4.8120,45.8420 4.6310,45.2710 4.8420,44.9240 5.0470,44.5720 5.2440,44.2170 5.4350,43.8580 5.5310,43.3540 5.6660,42.8630 5.8420,42.3850
b Some(250) false 9.4470,-40.3610 9.1260,-40.3250 8.8080,-40.3250 8.4910,-40.3590 8.1760,-40.4290 8.3550,-41.1360 8.4260,-41.8460 8.3920,-42.5590 8.2500,-43.2740 8.8410,-43.3730 9.4270,-43.3840 10.0080,-43.3070 10.5840,-43.1430 10.6730,-42.8550 10.7440,-42.5640 10.7970,-42.2690 10.8330,-41.9700 10.5290,-41.5310 10.1970,-41.1160 9.8360,-40.7260
b Some(250) false 8.1760,-40.4290 7.4190,-39.8490 6.6760,-39.2510 5.9490,-38.6350 5.2370,-38.0000 5.3600,-38.8470 5.5040,-39.6910 5.6690,-40.5300 5.8540,-41.3660 6.4410,-41.1480 7.0240,-40.9190 7.6020,-40.6800
b Some(250) false 8.1760,-40.4290 7.6020,-40.6800 7.0240,-40.9190 6.4410,-41.1480 5.8540,-41.3660 5.9940,-41.6880 6.1270,-42.0120 6.2550,-42.3380 6.3770,-42.6670 6.8700,-42.7430 7.3460,-42.8690 7.8060,-43.0460 8.2500,-43.2740 8.3920,-42.5590 8.4260,-41.8460 8.3550,-41.1360
b Some(248) false 2.6010,-34.1470 2.5360,-33.4670 2.4080,-32.8020 2.2200,-32.1520 1.9690,-31.5160 1.6030,-31.7420 1.2160,-31.9090 0.8080,-32.0160 0.3800,-32.0640 0.3050,-32.7530 0.1730,-33.4290 -0.0180,-34.0900 -0.2660,-34.7380 0.4380,-34.5270 1.1500,-34.3580 1.8710,-34.2310
b Some(265) false 22.6710,-27.6680 22.3470,-27.3830 22.0010,-27.1340 21.6320,-26.9180 21.2400,-26.7380 21.1300,-27.4270 20.9730,-28.1040 20.7690,-28.7680 20.5180,-29.4190 21.1640,-29.2850 21.8140,-29.2130 22.4680,-29.2030 23.1260,-29.2550 22.9450,-28.8770 22.8090,-28.4870 22.7180,-28.0840
b Some(250) false 2.5080,-35.6580 2.4610,-35.2760 2.4610,-34.8970 2.5080,-34.5200 2.6010,-34.1470 1.8710,-34.2310 1.1500,-34.3580 0.4380,-34.5270 -0.2660,-34.7380 -0.1230,-35.1900 0.0190,-35.6420 0.1600,-36.0940 0.3000,-36.5470 0.8660,-36.3600 1.4230,-36.1490 1.9700,-35.9150
b Some(256) false 31.4940,6.6650 31.8260,6.3780 32.1390,6.0720 32.4320,5.7470 32.7050,5.4030 33.0580,4.9150 33.4070,4.4230 33.7510,3.9290 34.0910,3.4310 34.4500,3.5230 34.8120,3.5720 35.1770,3.5790 35.5460,3.5430 35.5840,3.9880 35.6580,4.4250 35.7700,4.8550 35.9180,5.2760 35.4940,5.5000 35.0880,5.7520 34.7010,6.0300 34.3310,6.3360 34.3920,6.6960 34.4240,7.0570 34.4270,7.4200 34.4010,7.7840 33.8350,7.8440 33.2750,7.9380 32.7230,8.0660 32.1770,8.2290 32.0150,7.8340 31.8480,7.4420 31.6740,7.0520
b Some(265) false 23.8400,-25.7070 23.8250,-26.0420 23.7980,-26.3760 23.7570,-26.7080 23.7030,-27.0390 24.1270,-27.2770 24.5630,-27.4900 25.0100,-27.6770 25.4690,-27.8390 25.6260,-27.1280 25.7230,-26.4110 25.7620,-25.6890 25.7410,-24.9610 25.2870,-25.2020 24.8190,-25.4060 24.3370,-25.5750
b Some(265) false 23.7030,-27.0390 23.4320,-27.1750 23.1700,-27.3250 22.9160,-27.4900 22.6710,-27.6680 22.7180,-28.0840 22.8090,-28.4870 22.9450,-28.8770 23.1260,-29.2550 23.6730,-28.8370 24.2460,-28.4620 24.8450,-28.1290 25.4690,-27.8390 25.0100,-27.6770 24.5630,-27.4900 24.1270,-27.2770
b Some(250) false 5.2370,-38.0000 4.8090,-37.7060 4.3560,-37.4630 3.8810,-37.2710 3.3810,-37.1290 2.9760,-37.5130 2.5610,-37.8850 2.1350,-38.2450 1.7000,-38.5940 1.9850,-39.0390 2.3180,-39.4380 2.6990,-39.7920 3.1280,-40.1000 3.6530,-39.5730 4.1800,-39.0470 4.7080,-38.5230
b Some(250) false 5.8540,-41.3660 5.6690,-40.5300 5.5040,-39.6910 5.3600,-38.8470 5.2370,-38.0000 4.7080,-38.5230 4.1800,-39.0470 3.6530,-39.5730 3.1280,-40.1000 3.2080,-40.4950 3.2770,-40.8930 3.3340,-41.2920 3.3790,-41.6930 4.0050,-41.6670 4.6260,-41.6030 5.2430,-41.5030
b Some(250) false 3.3810,-37.1290 3.1280,-36.7820 2.8980,-36.4210 2.6920,-36.0460 2.5080,-35.6580 1.9700,-35.9150 1.4230,-36.1490 0.8660,-36.3600 0.3000,-36.5470 -0.0410,-37.1270 -0.4370,-37.6620 -0.8880,-38.1510 -1.3940,-38.5950 -1.0200,-38.8950 -0.6550,-39.2060 -0.2980,-39.5260 0.0500,-39.8560 0.5330,-39.6330 0.9690,-39.3480 1.3580,-39.0020 1.7000,-38.5940 2.1350,-38.2450 2.5610,-37.8850 2.9760,-37.5130
b Some(246) false -3.6260,29.3610 -3.8580,29.6080 -4.0750,29.8660 -4.2760,30.1370 -4.4620,30.4200 -4.8010,30.0700 -5.1770,29.7750 -5.5900,29.5340 -6.0400,29.3470 -6.0630,28.9240 -6.0650,28.5020 -6.0460,28.0800 -6.0060,27.6580 -5.4790,27.6920 -4.9610,27.7700 -4.4520,27.8930 -3.9520,28.0610 -3.8370,28.3780 -3.7440,28.7000 -3.6740,29.0280
b Some(272) false 31.7710,-9.4210 31.4400,-10.0670 31.1760,-10.7350 30.9780,-11.4260 30.8460,-12.1400 31.3660,-12.2520 31.8870,-12.2970 32.4090,-12.2740 32.9330,-12.1840 32.9430,-11.6740 33.0260,-11.1820 33.1810,-10.7080 33.4080,-10.2510 32.9580,-10.1230 32.5360,-9.9420 32.1400,-9.7080
b Some(272) false 33.5280,-7.0640 33.1940,-7.7310 32.7890,-8.3470 32.3150,-8.9100 31.7710,-9.4210 32.1400,-9.7080 32.5360,-9.9420 32.9580,-10.1230 33.4080,-10.2510 33.7530,-10.2300 34.0910,-10.1720 34.4200,-10.0790 34.7410,-9.9490 34.3040,-9.2840 33.9560,-8.5820 33.6970,-7.8420
b Some(272) false 32.9330,-12.1840 32.4090,-12.2740 31.8870,-12.2970 31.3660,-12.2520 30.8460,-12.1400 30.9410,-12.7590 31.0750,-13.3680 31.2490,-13.9660 31.4620,-14.5550 31.7900,-14.5210 32.1140,-14.4630 32.4320,-14.3820 32.7450,-14.2780 32.7380,-13.7500 32.7670,-13.2250 32.8320,-12.7030
b Some(208) false 32.8010,2.4050 32.8250,2.0550 32.8810,1.7110 32.9670,1.3740 33.0850,1.0430 33.7470,0.9900 34.4080,0.9840 35.0670,1.0260 35.7250,1.1160 35.7590,1.7290 35.7400,2.3370 35.6690,2.9420 35.5460,3.5430 35.1770,3.5790 34.8120,3.5720 34.4500,3.5230 34.0910,3.4310 33.7650,3.1790 33.4410,2.9240 33.1200,2.6660
b Some(267) false -15.4720,-34.3620 -15.9710,-34.1590 -16.4280,-33.8940 -16.8420,-33.5660 -17.2140,-33.1760 -17.5140,-33.3770 -17.8170,-33.5730 -18.1220,-33.7650 -18.4310,-33.9520 -18.3760,-34.3840 -18.3250,-34.8160 -18.2780,-35.2490 -18.2350,-35.6820 -17.5800,-35.8800 -16.9670,-36.1580 -16.3970,-36.5150 -15.8700,-36.9520 -15.8640,-36.2900 -15.7960,-35.6380 -15.6650,-34.9950
b Some(237) false -24.8830,-23.0100 -24.9390,-22.6250 -24.9560,-22.2400 -24.9350,-21.8550 -24.8760,-21.4700 -25.3390,-21.4430 -25.8030,-21.4330 -26.2660,-21.4410 -26.7300,-21.4660 -27.0650,-22.0490 -27.3430,-22.6560 -27.5620,-23.2860 -27.7240,-23.9390 -27.2920,-24.1900 -26.8850,-24.4750 -26.5030,-24.7920 -26.1460,-25.1420 -25.8050,-24.6240 -25.4810,-24.0960 -25.1740,-23.5580
b Some(138) false 31.1990,-6.2570 31.7810,-6.4590 32.3630,-6.6610 32.9450,-6.8630 33.5280,-7.0640 33.9050,-6.4310 34.2730,-5.7920 34.6320,-5.1480 34.9810,-4.4990 34.4900,-4.3800 33.9950,-4.2870 33.4950,-4.2210 32.9910,-4.1820 32.5090,-4.6710 32.0500,-5.1800 31.6130,-5.7090
b Some(272) false 33.5280,-7.0640 33.6970,-7.8420 33.9560,-8.5820 34.3040,-9.2840 34.7410,-9.9490 35.0890,-9.9870 35.4370,-10.0180 35.7860,-10.0400 36.1360,-10.0550 36.1150,-9.3570 36.0220,-8.6730 35.8570,-8.0030 35.6200,-7.3460 35.0840,-7.3700 34.5570,-7.3320 34.0380,-7.2290
b Some(272) false 33.5280,-7.0640 34.0380,-7.2290 34.5570,-7.3320 35.0840,-7.3700 35.6200,-7.3460 35.9380,-7.1200 36.2540,-6.8920 36.5700,-6.6630 36.8850,-6.4320 36.7760,-5.9890 36.6770,-5.5440 36.5900,-5.0960 36.5140,-4.6460 36.1290,-4.6300 35.7450,-4.6000 35.3620,-4.5570 34.9810,-4.4990 34.6320,-5.1480 34.2730,-5.7920 33.9050,-6.4310
b Some(235) false 1.4960,42.1130 1.9260,42.2600 2.3600,42.3950 2.7980,42.5160 3.2400,42.6240 3.1700,43.2260 3.0610,43.8190 2.9140,44.4040 2.7290,44.9810 2.2280,44.8150 1.7180,44.7100 1.1990,44.6670 0.6720,44.6850 1.0230,44.0880 1.2770,43.4610 1.4350,42.8020
b Some(265) false 25.7410,-24.9610 25.7620,-25.6890 25.7230,-26.4110 25.6260,-27.1280 25.4690,-27.8390 25.7320,-27.9640 25.9910,-28.0960 26.2460,-28.2340 26.4980,-28.3790 26.8880,-27.9200 27.3160,-27.5030 27.7810,-27.1270 28.2830,-26.7940 27.9800,-26.4320 27.6880,-26.0610 27.4100,-25.6800 27.1430,-25.2900 26.7810,-25.2550 26.4270,-25.1880 26.0800,-25.0900
b Some(265) false 25.4690,-27.8390 24.8450,-28.1290 24.2460,-28.4620 23.6730,-28.8370 23.1260,-29.2550 23.9050,-29.7310 24.7080,-30.1600 25.5340,-30.5420 26.3840,-30.8760 26.3990,-30.2510 26.4230,-29.6270 26.4560,-29.0030 26.4980,-28.3790 26.2460,-28.2340 25.9910,-28.0960 25.7320,-27.9640
b Some(265) false 25.7410,-24.9610 26.0800,-25.0900 26.4270,-25.1880 26.7810,-25.2550 27.1430,-25.2900 27.4100,-25.6800 27.6880,-26.0610 27.9800,-26.4320 28.2830,-26.7940 28.6370,-26.5150 29.0070,-26.2630 29.3960,-26.0390 29.8010,-25.8430 30.0170,-25.4100 30.2240,-24.9730 30.4230,-24.5320 30.6120,-24.0870 29.9910,-23.8980 29.3710,-23.7020 28.7540,-23.5000 28.1390,-23.2920 27.7970,-23.0060 27.4400,-22.7450 27.0650,-22.5070 26.6750,-22.2930 26.5350,-22.9930 26.3330,-23.6710 26.0680,-24.3270
b Some(261) false 20.6790,26.7350 21.3430,26.1860 21.9510,25.5850 22.5010,24.9310 22.9950,24.2250 23.1620,24.8950 23.2290,25.5670 23.1940,26.2410 23.0590,26.9180 22.4680,26.8210 21.8740,26.7580 21.2780,26.7290
b Some(287) false 23.0590,26.9180 23.1940,26.2410 23.2290,25.5670 23.1620,24.8950 22.9950,24.2250 23.7220,24.0960 24.4500,24.0370 25.1820,24.0490 25.9150,24.1300 25.9160,24.4960 25.9030,24.8610 25.8760,25.2250 25.8340,25.5890 25.4940,25.8710 25.2050,26.1920 24.9670,26.5530 24.7800,26.9540 24.3520,26.8480 23.9220,26.8070 23.4910,26.8300
b Some(235) false 13.0010,40.8230 13.1500,40.3200 13.3140,39.8230 13.4930,39.3300 13.6860,38.8430 14.0590,38.7680 14.4330,38.7300 14.8100,38.7280 15.1880,38.7640 15.0320,39.4890 14.8970,40.2170 14.7840,40.9490 14.6910,41.6840 14.2460,41.5130 13.8160,41.3120 13.4010,41.0820
b Some(265) false 23.1260,-29.2550 22.4680,-29.2030 21.8140,-29.2130 21.1640,-29.2850 20.5180,-29.4190 20.7340,-30.1320 21.0040,-30.8210 21.3270,-31.4870 21.7040,-32.1300 22.0410,-32.0250 22.3830,-31.9690 22.7300,-31.9620 23.0810,-32.0040 23.0270,-31.3160 23.0160,-30.6280 23.0490,-29.9410
b Some(265) false 26.3840,-30.8760 25.5340,-30.5420 24.7080,-30.1600 23.9050,-29.7310 23.1260,-29.2550 23.0490,-29.9410 23.0160,-30.6280 23.0270,-31.3160 23.0810,-32.0040 23.8770,-31.6350 24.6930,-31.3240 25.5290,-31.0710
b Some(270) false 32.1770,8.2290 32.7230,8.0660 33.2750,7.9380 33.8350,7.8440 34.4010,7.7840 34.6210,8.3890 34.8490,8.9920 35.0840,9.5920 35.3260,10.1890 34.9820,10.5090 34.6350,10.8250 34.2850,11.1390 33.9330,11.4490 33.5350,11.1470 33.1570,10.8230 32.8000,10.4770 32.4630,10.1090 32.3970,9.6380 32.3270,9.1680 32.2540,8.6980
b Some(270) false 30.0950,8.6060 30.6160,8.5160 31.1370,8.4230 31.6570,8.3270 32.1770,8.2290 32.2540,8.6980 32.3270,9.1680 32.3970,9.6380 32.4630,10.1090 32.1190,10.3680 31.7610,10.6060 31.3890,10.8220 31.0040,11.0160 30.7580,10.4210 30.5240,9.8200 30.3030,9.2160
b Some(270) false 34.4010,7.7840 34.4270,7.4200 34.4240,7.0570 34.3920,6.6960 34.3310,6.3360 34.7010,6.0300 35.0880,5.7520 35.4940,5.5000 35.9180,5.2760 36.3820,5.4290 36.8460,5.5830 37.3100,5.7370 37.7730,5.8920 37.5620,6.5190 37.3410,7.1420 37.1070,7.7600 36.8630,8.3750 36.2540,8.1990 35.6410,8.0420 35.0230,7.9040
b Some(272) false 34.7410,-9.9490 34.4200,-10.0790 34.0910,-10.1720 33.7530,-10.2300 33.4080,-10.2510 33.1810,-10.7080 33.0260,-11.1820 32.9430,-11.6740 32.9330,-12.1840 33.4120,-12.3880 33.9030,-12.5410 34.4080,-12.6420 34.9260,-12.6910 35.2340,-12.0340 35.5380,-11.3760 35.8390,-10.7160 36.1360,-10.0550 35.7860,-10.0400 35.4370,-10.0180 35.0890,-9.9870
b Some(250) false 12.1540,-40.8260 11.8150,-41.1020 11.4810,-41.3840 11.1540,-41.6740 10.8330,-41.9700 10.7970,-42.2690 10.7440,-42.5640 10.6730,-42.8550 10.5840,-43.1430 10.9880,-43.2130 11.3810,-43.3180 11.7640,-43.4550 12.1370,-43.6270 12.4670,-43.4530 12.8060,-43.3000 13.1540,-43.1700 13.5110,-43.0610 13.6420,-42.5630 13.7850,-42.0690 13.9410,-41.5790 14.1100,-41.0920 13.6220,-41.0170 13.1330,-40.9480 12.6440,-40.8840
b Some(250) false 17.2290,-37.5230 16.9570,-37.8910 16.6690,-38.2450 16.3640,-38.5850 16.0440,-38.9120 15.4380,-39.3480 14.9140,-39.8570 14.4710,-40.4380 14.1100,-41.0920 14.7060,-41.3450 15.3180,-41.5060 15.9480,-41.5740 16.5950,-41.5500 16.7490,-41.9320 16.9250,-42.3030 17.1220,-42.6630 17.3410,-43.0120 17.7250,-43.0970 18.1040,-43.2020 18.4770,-43.3250 18.8440,-43.4670 19.1620,-42.9910 19.5340,-42.5690 19.9600,-42.2030 20.4400,-41.8910 20.0250,-41.5320 19.6490,-41.1380 19.3130,-40.7110 19.0150,-40.2500 18.5820,-39.5590 18.1400,-38.8750 17.6890,-38.1960
b Some(250) false 18.5230,-34.7220 18.2190,-35.4310 17.9020,-36.1350 17.5720,-36.8320 17.2290,-37.5230 17.6890,-38.1960 18.1400,-38.8750 18.5820,-39.5590 19.0150,-40.2500 19.2900,-39.8750 19.5950,-39.5270 19.9290,-39.2080 20.2920,-38.9170 20.4070,-38.3750 20.4720,-37.8290 20.4870,-37.2800 20.4510,-36.7270 19.9740,-36.2210 19.4930,-35.7180 19.0100,-35.2190
b Some(229) false 21.7040,-32.1300 21.3270,-31.4870 21.0040,-30.8210 20.7340,-30.1320 20.5180,-29.4190 20.1530,-29.7560 19.7900,-30.0950 19.4270,-30.4340 19.0650,-30.7740 19.0930,-31.4290 19.0260,-32.0670 18.8650,-32.6870 18.6090,-33.2910 19.0790,-33.3360 19.5410,-33.3140 19.9940,-33.2250 20.4400,-33.0690 20.7080,-32.7700 21.0080,-32.5130 21.3400,-32.3000
b Some(197) false -23.0750,-26.9800 -22.8300,-26.6530 -22.6110,-26.3100 -22.4190,-25.9520 -22.2530,-25.5790 -22.5830,-25.3970 -22.8830,-25.1790 -23.1530,-24.9250 -23.3930,-24.6350 -23.6910,-24.9130 -24.0090,-25.1640 -24.3450,-25.3890 -24.7010,-25.5880 -25.0630,-25.4780 -25.4240,-25.3670 -25.7850,-25.2550 -26.1460,-25.1420 -26.1490,-25.9350 -26.0880,-26.7210 -25.9630,-27.4990 -25.7740,-28.2690 -25.4540,-28.2520 -25.1380,-28.2690 -24.8260,-28.3190 -24.5170,-28.4030 -24.1420,-28.0620 -23.7770,-27.7110 -23.4210,-27.3500
b Some(235) false -2.2210,40.8680 -1.7780,41.0320 -1.3270,41.1690 -0.8690,41.2780 -0.4030,41.3590 -0.5850,41.7420 -0.7970,42.1050 -1.0390,42.4490 -1.3110,42.7730 -1.2410,43.2290 -1.1810,43.6860 -1.1290,44.1450 -1.0870,44.6040 -1.6050,44.7550 -2.0990,44.9590 -2.5670,45.2140 -3.0110,45.5220 -3.2130,44.6680 -3.3210,43.8070 -3.3330,42.9390 -3.2500,42.0650 -2.9940,41.7650 -2.7370,41.4650 -2.4790,41.1660
b Some(235) false -0.4030,41.3590 0.0980,41.4820 0.5810,41.6490 1.0470,41.8590 1.4960,42.1130 1.4350,42.8020 1.2770,43.4610 1.0230,44.0880 0.6720,44.6850 0.2310,44.6910 -0.2090,44.6790 -0.6480,44.6500 -1.0870,44.6040 -1.1290,44.1450 -1.1810,43.6860 -1.2410,43.2290 -1.3110,42.7730 -1.0390,42.4490 -0.7970,42.1050 -0.5850,41.7420
b Some(235) false -2.6160,39.6240 -2.5460,39.9440 -2.4570,40.2580 -2.3490,40.5660 -2.2210,40.8680 -2.4790,41.1660 -2.7370,41.4650 -2.9940,41.7650 -3.2500,42.0650 -3.6850,41.4670 -4.1650,40.9110 -4.6910,40.3980 -5.2610,39.9270 -4.8900,39.8270 -4.5300,39.6990 -4.1820,39.5430 -3.8450,39.3580 -3.5360,39.4160 -3.2280,39.4790 -2.9210,39.5490
b Some(286) false -0.2660,-34.7380 -0.5950,-34.5620 -0.9170,-34.3740 -1.2310,-34.1740 -1.5380,-33.9610 -2.2850,-33.9600 -3.0110,-34.0600 -3.7150,-34.2620 -4.3980,-34.5650 -4.0230,-35.0910 -3.7130,-35.6490 -3.4700,-36.2390 -3.2920,-36.8600 -2.4360,-36.4720 -1.6460,-35.9890 -0.9230,-35.4110
b Some(250) false 0.3000,-36.5470 0.1600,-36.0940 0.0190,-35.6420 -0.1230,-35.1900 -0.2660,-34.7380 -0.9230,-35.4110 -1.6460,-35.9890 -2.4360,-36.4720 -3.2920,-36.8600 -2.9010,-37.3850 -2.4540,-37.8490 -1.9520,-38.2520 -1.3940,-38.5950 -0.8880,-38.1510 -0.4370,-37.6620 -0.0410,-37.1270
b Some(250) false 6.3770,-42.6670 6.2550,-42.3380 6.1270,-42.0120 5.9940,-41.6880 5.8540,-41.3660 5.2430,-41.5030 4.6260,-41.6030 4.0050,-41.6670 3.3790,-41.6930 3.8400,-42.3200 4.3260,-42.9250 4.8380,-43.5080 5.3760,-44.0700 5.6610,-43.7440 5.9230,-43.4020 6.1620,-43.0430
